;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
200;234378;D. Rice;Declan Rice;22;185;80;England;82;87;5;1972;423;CDM,CM;CDM;West Ham United;43000000;69000;84900000;CDM;2024.0;41.0;2016;False;England;CDM;4.0;Direito;Média;Alta;66;53;71;73;81;79;50;42;71;82;40;75;58;53;80;79;64;68;53;77;61;70;74;84;76;60;82;83;54;75;71;80;80;83;80;8;11;14;5;9
400;236987;B. Kamara;Boubacar Kamara;21;184;68;France;80;86;6;1954;425;CDM,CB;CDM;Olympique de Marseille;31000000;30000;65099999;CDM;2022.0;4.0;2017;False;Fora;;;Direito;Média;Alta;74;50;72;72;79;78;64;39;73;79;28;70;59;47;78;78;74;74;66;73;67;66;74;78;76;63;83;83;43;74;63;81;76;81;80;8;12;8;6;11
528;239301;L. Martínez;Lisandro Martínez;23;178;77;Argentina;79;85;6;2066;436;CB,LB,CDM;CDM;Ajax;25000000;16000;40000000;CB;2023.0;21.0;2019;False;Argentina;SUB;25.0;Esquerdo;Média;Alta;71;58;73;75;79;80;70;52;74;77;52;74;63;53;79;78;74;68;72;77;79;68;88;83;76;63;84;79;62;73;55;81;81;81;76;6;14;13;14;8
2900;248386;Gustavo Assunção;Gustavo Enrique Assunção da Silva;21;178;68;Brazil;73;85;12;1890;402;CDM,CM;CDM;Galatasaray SK;7000000;6000;0;RES;2022.0;83.0;2019;True;Fora;;;Direito;Média;Média;66;58;64;74;69;71;50;54;54;72;56;72;58;63;69;75;68;65;76;76;75;70;70;87;64;60;71;69;56;64;42;78;70;71;70;6;7;10;7;13
354;224081;K. Phillips;Kalvin Phillips;25;178;72;England;81;85;4;2090;443;CDM,CM,CB;CDM;Leeds United;32500000;82000;64200000;CDM;2024.0;23.0;2014;False;England;CM;14.0;Direito;Média;Alta;67;65;76;75;78;82;70;62;65;80;55;73;62;71;82;79;69;66;72;76;72;75;82;85;78;67;86;77;66;74;58;78;79;82;77;8;8;8;12;14
852;239817;B. Soumaré;Boubakary Soumaré;22;188;82;France;78;85;7;1987;429;CDM,CM;CDM;Leicester City;27000000;68000;56700000;SUB;2026.0;42.0;2021;False;Fora;;;Direito;Média;Média;70;56;74;77;72;80;65;51;60;79;53;78;65;53;78;79;71;69;69;77;69;64;71;83;81;58;77;75;70;78;52;78;72;74;71;11;6;13;5;10
2779;247090;E. Fernández;Enzo Fernández;20;180;77;Argentina;73;84;11;1987;422;CM;CDM;River Plate;6500000;10000;10400000;SUB;2023.0;13.0;2019;False;Fora;;;Direito;Média;Alta;72;60;73;73;70;74;66;54;52;79;58;72;71;67;72;74;71;73;75;73;73;69;63;79;69;61;82;70;67;74;64;78;70;76;74;8;6;7;8;10
547;239433;N. Maksimović;Nemanja Maksimović;26;189;78;Serbia;79;84;5;2030;425;CDM,CM;CDM;Getafe CF;23000000;30000;50000000;CDM;2024.0;20.0;2018;False;Fora;;;Direito;Alta;Alta;56;68;75;71;77;78;65;70;73;80;49;70;63;72;76;76;53;58;60;80;56;72;76;84;76;69;78;81;73;78;50;77;76;79;70;14;10;15;15;13
840;234060;Y. Herrera;Yangel Herrera;23;184;77;Venezuela;78;84;6;2010;432;CM,CDM,CAM;CDM;RCD Espanyol;22000000;90000;0;CDM;2022.0;25.0;2017;True;Fora;;;Direito;Alta;Média;63;70;73;75;77;74;57;71;68;83;54;76;56;51;82;80;62;64;61;74;65;75;75;73;72;71;79;78;70;76;59;69;76;80;78;6;7;9;14;8
525;232665;M. Arambarri;Mauro Arambarri;25;175;74;Uruguay;79;84;5;1934;405;CDM,CM;CDM;Getafe CF;23500000;29000;51100000;CDM;2023.0;18.0;2018;False;Fora;;;Direito;Média;Média;47;60;72;73;77;76;59;49;62;79;43;72;66;54;78;79;42;51;55;77;73;77;56;73;76;75;83;78;60;74;50;65;79;80;79;7;13;13;15;7
520;233738;Zubeldia;Igor Zubeldia Elorza;24;181;73;Spain;79;84;5;2082;443;CB,CM,CDM;CDM;Real Sociedad;24000000;29000;52200000;RES;2024.0;5.0;2015;False;Fora;;;Direito;Média;Média;68;67;75;73;79;81;65;67;73;81;47;70;73;65;79;78;60;74;70;81;74;75;79;83;78;68;86;81;65;74;51;73;80;80;79;6;8;9;10;13
487;229927;Gerson;Gerson Santos da Silva;24;184;72;Brazil;80;84;4;2132;452;CM;CDM;Olympique de Marseille;30000000;41000;59300000;CM;2026.0;8.0;2021;False;Fora;;;Esquerdo;Média;Média;74;64;79;80;78;77;73;61;54;86;56;77;79;60;79;84;73;74;79;84;81;69;68;77;76;65;81;81;74;77;67;78;79;82;78;14;13;13;9;9
467;223959;L. Torreira;Lucas Torreira;25;166;60;Uruguay;80;84;4;2098;448;CDM,CM;CDM;Fiorentina;26500000;77000;0;SUB;2022.0;18.0;2018;True;Fora;;;Direito;Média;Alta;74;67;74;79;79;75;71;61;59;78;65;77;70;72;73;79;76;72;86;77;90;78;52;84;68;74;86;83;68;74;48;78;80;82;76;5;5;13;7;9
399;237238;S. McTominay;Scott McTominay;24;193;88;Scotland;80;84;4;2103;453;CDM,CM;CDM;Manchester United;27500000;90000;52900000;SUB;2025.0;39.0;2013;False;Scotland;CM;4.0;Direito;Média;Alta;66;75;75;75;78;84;68;71;78;81;62;78;72;53;78;76;62;69;66;79;60;85;73;84;84;81;88;76;71;75;60;78;76;81;74;9;6;6;10;11
388;233195;X. Schlager;Xaver Schlager;23;174;76;Austria;80;84;4;2060;443;CDM,CM;CDM;VfL Wolfsburg;27500000;53000;48800000;CDM;2023.0;24.0;2019;False;Austria;SUB;23.0;Esquerdo;Alta;Alta;69;70;73;77;73;81;59;66;44;79;60;76;70;60;77;77;74;64;78;81;77;78;63;85;80;76;85;83;75;78;56;74;75;74;69;6;8;8;12;7
693;227535;R. Bentancur;Rodrigo Bentancur;24;187;78;Uruguay;78;83;5;2099;445;CM;CDM;Juventus;21000000;61000;36200000;RES;2024.0;30.0;2017;False;Fora;;;Direito;Média;Média;73;62;79;80;75;76;77;55;62;83;71;83;73;68;79;82;69;77;70;78;68;69;73;86;70;65;78;78;64;76;64;80;78;77;71;8;7;14;14;12
1019;232999;T. Adams;Tyler Adams;22;175;72;United States;77;83;6;1937;421;CDM,RWB;CDM;RB Leipzig;15500000;49000;29500000;SUB;2025.0;14.0;2019;False;United States;CDM;4.0;Direito;Alta;Alta;81;48;70;73;74;75;55;48;65;80;33;70;52;42;74;73;78;83;79;77;85;51;84;86;68;46;78;74;65;74;51;76;74;77;69;6;13;12;8;7
