;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
2;231747;K. Mbappé;Kylian Mbappé;22;182;73;France;91;95;4;2175;470;ST,LW;ST;Paris Saint-Germain;194000000;230000;373500000;ST;2022.0;7.0;2018;False;France;LW;10.0;Direito;Alta;Baixa;97;88;80;92;36;77;78;93;72;85;83;93;80;69;71;91;97;97;92;93;83;86;78;88;77;82;62;38;92;82;79;88;26;34;32;13;5;7;11;6
22;239085;E. Haaland;Erling Haaland;20;194;94;Norway;88;93;5;2102;458;ST;ST;Borussia Dortmund;137500000;110000;244100000;ST;2024.0;9.0;2020;False;Norway;ST;23.0;Esquerdo;Alta;Alta;89;91;65;80;45;88;47;94;69;77;88;78;77;62;51;85;82;94;75;88;72;94;74;82;93;87;85;43;89;71;76;84;44;43;30;7;14;13;11;7
91;231478;L. Martínez;Lautaro Martínez;23;174;72;Argentina;85;89;4;2145;454;ST;ST;Inter;78000000;145000;138500000;ST;2023.0;10.0;2018;False;Argentina;ST;22.0;Direito;Alta;Média;84;81;72;85;48;84;56;85;87;78;88;83;78;43;73;85;86;83;86;89;89;80;88;80;84;74;86;45;86;81;74;83;55;31;44;11;8;8;8;13
2290;253002;G. Raspadori;Giacomo Raspadori;21;172;69;Italy;74;88;14;1764;371;ST;ST;Sassuolo;10500000;22000;24400000;ST;2022.0;18.0;2019;False;Italy;RES;9.0;Direito;Alta;Baixa;77;74;63;78;26;53;43;76;69;77;65;77;62;60;52;79;82;73;77;74;85;71;60;62;51;71;45;18;77;67;76;69;21;23;21;13;14;7;7;9
171;230666;Gabriel Jesus;Gabriel Fernando de Jesus;24;175;73;Brazil;83;87;4;2062;436;ST;ST;Manchester City;52500000;150000;101100000;SUB;2023.0;9.0;2016;False;Fora;;;Direito;Alta;Média;84;81;72;87;39;73;66;84;77;77;77;86;76;54;66;86;87;82;91;86;87;82;79;79;69;76;73;32;87;77;75;79;45;30;28;13;8;6;6;15
199;231943;Richarlison;Richarlison de Andrade;24;181;71;Brazil;82;87;5;2124;451;ST,LW,LM;ST;Everton;46500000;100000;91800000;LM;2024.0;7.0;2018;False;Fora;;;Direito;Alta;Média;83;78;73;84;53;80;73;80;83;79;75;86;74;65;61;83;85;81;79;82;73;83;86;83;77;70;84;46;83;74;77;81;45;58;48;12;7;8;11;13
214;224458;Diogo Jota;Diogo José Teixeira da Silva;24;178;73;Portugal;82;87;5;2148;457;LW,ST;ST;Liverpool;46000000;120000;88600000;SUB;2025.0;20.0;2020;False;Portugal;LW;21.0;Direito;Alta;Alta;84;81;73;85;57;77;71;84;77;75;78;85;77;58;71;85;88;81;87;84;86;84;76;81;71;75;85;56;85;75;63;83;54;57;45;7;12;15;9;11
1301;246618;A. Hložek;Adam Hložek;18;188;86;Czech Republic;76;87;11;1909;409;ST,LM,RM;ST;Sparta Praha;16000000;500;38400000;ST;2022.0;20.0;2019;False;Czech Republic;SUB;19.0;Direito;Alta;Média;78;75;71;76;31;78;69;75;71;72;73;77;68;64;67;77;79;77;69;76;78;78;70;76;82;73;70;23;75;75;66;74;23;32;23;11;10;9;11;10
435;232293;V. Osimhen;Victor Osimhen;22;185;78;Nigeria;80;87;7;1961;426;ST;ST;Napoli;43000000;66000;81700000;ST;2025.0;9.0;2020;False;Fora;;;Direito;Alta;Média;88;80;63;75;39;81;64;85;78;69;75;74;63;48;53;77;83;92;77;78;68;78;88;80;82;72;76;34;81;65;75;72;36;38;19;14;14;10;9;6
510;236610;M. Kean;Moise Kean;21;182;72;Italy;79;87;8;1875;411;ST;ST;Juventus;39500000;69000;0;SUB;2023.0;18.0;2019;True;Fora;;;Direito;Alta;Média;85;77;56;78;40;75;48;81;76;68;72;80;67;44;39;76;84;85;75;74;79;84;76;71;85;66;57;31;81;58;65;72;40;36;30;13;8;10;7;9
1006;245158;L. Suárez;Luis Javier Suárez;23;185;74;Colombia;77;86;9;1946;422;ST,LM,CAM;ST;Granada CF;23500000;23000;54100000;LM;2022.0;9.0;2020;False;Fora;;;Direito;Alta;Média;86;78;65;74;40;79;71;83;65;66;71;74;70;60;59;72;87;86;79;75;76;78;62;79;81;71;80;44;79;60;72;63;26;48;28;6;8;13;11;6
4129;245152;S. Giménez;Santiago Giménez;20;182;69;Mexico;71;86;15;1754;383;ST,CF,CAM;ST;Cruz Azul;4500000;29000;10500000;SUB;2023.0;29.0;2018;False;Fora;;;Esquerdo;Alta;Média;76;69;60;64;39;75;50;72;73;70;63;60;52;36;55;72;75;77;65;62;63;67;63;62;83;65;72;31;73;65;74;57;29;45;32;6;14;12;6;10
834;231352;T. Abraham;Tammy Abraham;23;196;87;England;78;86;8;1766;383;ST;ST;Roma;31500000;49000;59900000;ST;2026.0;9.0;2021;False;Fora;;;Direito;Média;Média;70;78;62;72;31;70;50;82;80;77;77;72;50;42;46;77;61;77;61;79;53;78;70;69;79;68;49;22;80;67;74;73;35;23;15;12;7;8;13;13
822;243630;J. David;Jonathan David;21;177;77;Canada;78;86;8;1862;405;ST;ST;LOSC Lille;32000000;31000;67200000;ST;2025.0;9.0;2020;False;Canada;CAM;20.0;Direito;Alta;Alta;85;76;71;78;25;70;67;80;72;78;71;79;58;48;70;78;83;87;77;74;71;75;86;85;75;70;33;17;80;73;75;81;21;21;19;7;7;11;7;7
