;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
20;230621;G. Donnarumma;Gianluigi Donnarumma;22;196;90;Italy;89;93;4;1377;481;GK;GK;Paris Saint-Germain;119500000;110000;230000000;GK;2026.0;50.0;2021;False;Italy;GK;21.0;Direito;Média;Média;91;83;79;90;53;85;12;12;12;36;8;28;12;14;34;30;50;55;64;85;38;59;72;34;72;18;30;26;14;60;24;68;20;14;16;91;83;79;85;90
106;215698;M. Maignan;Mike Maignan;25;191;89;France;84;89;5;1456;469;GK;GK;Milan;49500000;45000;87900000;GK;2026.0;16.0;2021;False;France;RES;23.0;Direito;Média;Média;83;81;85;86;50;84;18;15;17;55;16;32;28;16;46;40;49;51;39;82;55;64;74;39;78;20;30;25;15;60;15;65;23;16;19;83;81;85;84;86
205;211515;P. Gollini;Pierluigi Gollini;26;194;94;Italy;82;87;5;1264;451;GK;GK;Tottenham Hotspur;35000000;48000;0;SUB;2022.0;22.0;2018;True;Fora;;;Direito;Média;Média;82;81;76;82;47;83;17;14;19;31;20;18;13;15;25;24;46;48;56;77;52;57;52;40;68;17;19;18;12;30;21;63;20;12;19;82;81;76;83;82
260;241671;D. Livaković;Dominik Livaković;26;187;79;Croatia;82;87;5;1335;453;GK;GK;Dinamo Zagreb;35000000;1000;79600000;GK;2024.0;40.0;2015;False;Fora;;;Direito;Média;Média;81;78;74;85;55;80;13;12;13;46;10;19;12;11;56;28;57;54;65;80;30;56;61;32;75;9;26;21;11;60;15;64;24;20;21;81;78;74;80;85
403;233306;D. Henderson;Dean Henderson;24;188;85;England;80;87;7;1250;445;GK;GK;Manchester United;36000000;70000;73800000;SUB;2025.0;26.0;2015;False;England;SUB;13.0;Direito;Média;Média;80;79;78;83;49;76;14;9;13;37;5;13;13;10;45;32;51;48;61;79;56;59;63;34;60;6;20;11;8;48;16;56;15;14;14;80;79;78;76;83
4069;242879;M. Vandevoordt;Maarten Vandevoordt;19;190;79;Belgium;71;87;16;1071;389;GK;GK;KRC Genk;4300000;3000;9100000;GK;2023.0;26.0;2018;False;Fora;;;Direito;Média;Média;74;70;67;73;39;66;11;3;8;25;4;22;10;8;35;27;40;39;46;70;48;50;60;32;60;5;14;11;5;40;15;52;11;10;12;74;70;67;66;73
207;230869;Unai Simón;Unai Simón Mendibil;24;190;89;Spain;82;86;4;1283;451;GK;GK;Athletic Club de Bilbao;34500000;24000;75000000;GK;2025.0;1.0;2015;False;Spain;GK;23.0;Direito;Média;Média;82;77;76;84;47;85;16;14;18;40;17;12;20;14;37;16;46;48;32;72;47;57;63;45;76;13;27;26;14;44;24;42;11;18;12;82;77;76;85;84
563;225116;A. Meret;Alex Meret;24;190;83;Italy;79;86;7;1214;429;GK;GK;Napoli;30000000;40000;57000000;SUB;2023.0;1.0;2018;False;Italy;SUB;26.0;Esquerdo;Média;Média;80;74;70;82;45;78;15;17;19;29;20;16;20;21;22;22;41;48;37;74;48;53;68;29;65;17;22;22;20;21;21;67;10;21;12;80;74;70;78;82
3260;253012;L. Morales;Lautaro Morales;21;187;76;Argentina;72;85;13;1335;409;GK;GK;Club Atlético Lanús;5000000;6000;10600000;GK;2023.0;1.0;2019;False;Fora;;;Direito;Média;Média;71;70;69;73;52;74;19;17;21;36;19;19;26;16;31;28;51;53;47;63;56;52;69;44;64;15;37;28;14;58;25;54;24;23;23;71;70;69;74;73
2662;234577;Diogo Costa;Diogo Meireles Costa;21;187;81;Portugal;73;85;12;1071;390;GK;GK;FC Porto;6500000;5000;14300000;SUB;2022.0;99.0;2016;False;Fora;;;Direito;Média;Média;73;71;65;75;33;73;13;6;11;28;8;18;10;10;24;25;29;36;34;71;35;49;53;23;62;9;23;18;18;44;14;44;19;13;11;73;71;65;73;75
