;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
299;247394;D. Kulusevski;Dejan Kulusevski;21;186;75;Sweden;81;89;8;2089;451;RW,CF;LM;Juventus;58000000;72000;107300000;SUB;2024.0;44.0;2019;False;Sweden;ST;21.0;Esquerdo;Alta;Média;84;74;77;84;56;76;80;70;54;79;80;85;83;61;69;87;85;83;77;80;73;74;66;85;77;83;67;55;77;78;65;83;50;64;58;14;5;10;10;5
170;231443;O. Dembélé;Ousmane Dembélé;24;178;67;France;83;88;5;1990;426;RW;LM;FC Barcelona;55000000;165000;116900000;RW;2022.0;7.0;2017;False;Fora;;;Esquerdo;Alta;Média;93;77;77;87;36;56;81;75;43;78;76;89;82;64;76;84;94;93;89;78;80;83;58;68;51;76;54;36;77;76;75;80;42;30;33;6;6;14;10;13
390;246669;B. Saka;Bukayo Saka;19;178;65;England;80;88;8;2045;439;RM,LM,LB;LM;Arsenal;45500000;50000;95600000;LM;2025.0;7.0;2018;False;England;SUB;16.0;Esquerdo;Alta;Média;84;68;76;82;65;64;79;69;45;79;63;84;76;69;63;80;86;82;83;76;83;68;54;77;58;65;66;68;78;79;64;73;65;69;67;7;8;13;9;13
294;241852;M. Diaby;Moussa Diaby;21;170;68;France;81;88;7;1884;414;LW,RW;LM;Bayer 04 Leverkusen;52500000;52000;99800000;RM;2025.0;19.0;2019;False;France;RES;11.0;Esquerdo;Alta;Baixa;94;67;73;86;41;53;75;73;28;78;63;87;66;41;70;82;96;92;92;77;93;73;62;70;44;54;51;48;77;76;42;75;46;35;46;8;9;8;8;14
290;239231;Cucurella;Marc Cucurella Saseta;22;172;66;Spain;81;87;6;2107;451;LM,LB;LM;Brighton & Hove Albion;41500000;63000;87200000;RES;2026.0;3.0;2021;False;Fora;;;Esquerdo;Alta;Média;79;67;78;80;73;74;81;68;57;81;55;80;78;48;79;81;78;80;78;82;83;73;77;88;66;65;76;73;79;78;47;74;71;78;77;13;7;9;10;11
202;233419;Raphinha;Raphael Dias Belloli;24;176;68;Brazil;82;87;5;2098;449;RM,RW;LM;Leeds United;46000000;89000;90900000;RM;2024.0;10.0;2020;False;Fora;;;Esquerdo;Alta;Alta;91;76;76;85;49;72;78;74;45;76;72;86;81;75;70;83;90;91;88;82;79;81;74;84;64;76;76;55;81;77;73;78;45;54;38;8;7;13;8;14
848;235353;I. Sarr;Ismaïla Sarr;23;185;76;Senegal;78;86;8;1833;406;RW,RM,ST;RW;Watford;31000000;53000;65099999;RM;2024.0;23.0;2019;False;Fora;;;Direito;Alta;Média;94;76;67;80;22;67;68;75;44;69;76;82;78;55;59;79;94;94;78;76;74;82;48;73;71;78;53;17;73;68;58;78;25;16;21;14;13;7;6;9
353;224411;Gonçalo Guedes;Gonçalo Manuel Ganchinho Guedes;24;179;68;Portugal;81;86;5;1998;427;LM,ST,CF;LM;Valencia CF;39000000;39000;84800000;ST;2024.0;7.0;2018;False;Fora;;;Direito;Alta;Baixa;86;79;76;82;36;68;81;76;58;76;71;83;76;70;69;81;85;87;84;79;75;84;63;74;68;84;64;50;77;76;69;78;24;34;30;9;12;11;9;9
1004;246172;S. Chukwueze;Samuel Chukwueze;22;172;70;Nigeria;77;85;8;1867;408;RM,RW,CF;LM;Villarreal CF;23500000;27000;54100000;RES;2023.0;11.0;2018;False;Fora;;;Esquerdo;Alta;Baixa;87;73;66;84;36;62;69;73;44;69;70;87;71;58;56;80;91;84;86;72;80;76;67;72;63;74;47;33;75;68;55;72;40;32;33;13;7;9;7;6
837;232080;J. Harrison;Jack Harrison;24;175;70;England;78;84;6;1915;415;LM,RM;LM;Leeds United;22000000;66000;46200000;LM;2024.0;22.0;2021;False;Fora;;;Esquerdo;Alta;Alta;83;71;72;79;42;68;76;71;45;73;62;79;70;56;62;78;84;82;82;75;81;75;63;85;65;68;57;36;75;76;64;73;42;43;44;11;8;10;6;11
1358;244261;L. Majer;Lovro Majer;23;179;75;Croatia;76;84;8;1963;413;CAM,CM,RM;LM;Stade Rennais FC;16500000;36000;34700000;SUB;2026.0;21.0;2021;False;Fora;;;Esquerdo;Alta;Média;69;69;78;84;54;59;81;67;49;77;67;85;86;77;77;85;78;62;86;70;70;76;50;81;49;67;57;61;65;78;78;73;53;59;28;9;12;12;5;6
3328;255371;Marcos Paulo;Marcos Paulo Costa do Nascimento;20;186;75;Portugal;72;84;12;1703;375;LM,ST;LM;Famalicão;5500000;23000;0;LM;2022.0;9.0;2021;True;Fora;;;Direito;Média;Média;71;67;70;72;43;52;72;71;67;73;46;75;51;44;70;72;72;70;70;55;56;69;49;66;50;60;40;30;72;74;60;68;45;41;41;6;11;11;8;6
671;224371;J. Bowen;Jarrod Bowen;24;175;70;England;78;83;5;1943;411;RM,ST;LM;West Ham United;21000000;57000;41500000;SUB;2025.0;20.0;2020;False;Fora;;;Esquerdo;Alta;Média;76;74;73;79;44;65;76;78;64;73;53;80;71;70;67;78;78;75;79;77;82;69;63;78;62;76;56;37;79;74;70;72;49;40;36;14;8;14;10;7
3305;246469;A. Urzi;Agustín Urzi;21;168;61;Argentina;72;83;11;1725;380;LM,CM,RM;LM;Club Atlético Banfield;5500000;9000;9400000;SUB;2024.0;11.0;2018;False;Fora;;;Esquerdo;Alta;Média;85;63;64;74;36;58;74;59;42;62;59;76;59;43;53;72;85;85;77;62;78;68;43;76;54;68;49;31;67;70;55;62;44;31;32;9;9;9;10;14
4426;253036;N. Mbuku;Nathanaël Mbuku;19;170;65;France;71;83;12;1727;369;RM,CAM,RW;LM;Stade de Reims;4400000;9000;9700000;RW;2023.0;11.0;2018;False;Fora;;;Esquerdo;Alta;Média;78;64;67;77;34;49;68;65;48;71;64;77;66;56;63;74;80;77;85;60;86;71;39;60;48;55;41;29;64;65;64;64;32;34;35;14;8;12;8;8
2143;231436;G. Diangana;Grady Diangana;23;180;73;England;74;83;9;1675;374;LW,LM,RW;LM;West Bromwich Albion;9500000;35000;20000000;RW;2025.0;11.0;2020;False;Fora;;;Esquerdo;Alta;Média;83;62;68;77;27;57;72;66;37;73;48;80;53;49;55;74;87;79;78;68;79;55;52;66;56;67;48;27;65;71;50;60;26;26;23;9;13;11;5;7
2435;246423;L. Orellano;Luca Orellano;21;177;66;Argentina;73;83;10;1801;392;RW;RW;Vélez Sarsfield;7000000;11000;11900000;RW;2023.0;14.0;2018;False;Fora;;;Esquerdo;Média;Média;90;70;61;79;33;59;65;67;49;67;59;78;58;48;55;77;92;89;90;62;89;80;69;74;56;73;47;27;66;55;52;70;29;35;39;10;13;7;13;11
3320;256136;F. Torres;Facundo Torres;21;171;69;Uruguay;72;82;10;1759;384;LW,CAM,RW;LM;Peñarol;5500000;750;12900000;LM;2023.0;10.0;2020;False;Fora;;;Esquerdo;Alta;Baixa;83;67;69;74;36;55;70;65;57;74;67;77;68;50;65;71;82;83;80;62;60;72;66;65;59;70;32;31;70;65;58;53;35;34;30;8;9;10;6;8
4562;242162;H. Evjen;Håkon Evjen;21;173;65;Norway;71;81;10;1851;400;RW,CM;LM;AZ Alkmaar;4200000;6000;7100000;SUB;2024.0;18.0;2020;False;Fora;;;Esquerdo;Alta;Alta;82;64;64;74;54;62;63;66;39;67;57;74;68;54;60;71;85;79;89;69;75;61;58;85;54;66;54;43;71;66;50;67;58;66;46;11;13;7;14;12
2405;238050;C. Ejuke;Chidera Ejuke;23;174;72;Nigeria;74;81;7;1783;400;LM,RM;RW;PFC CSKA Moscow;8500000;31000;15300000;LM;2024.0;11.0;2020;False;Fora;;;Direito;Alta;Alta;94;68;63;79;37;59;65;70;44;68;59;80;64;36;50;74;95;93;89;65;90;69;56;76;59;71;40;31;71;66;49;66;40;37;31;14;7;6;7;11
1760;229764;Córdoba;Iñigo Córdoba Kerejeta;24;180;76;Spain;75;81;6;2008;434;LW,LM;LM;Go Ahead Eagles;9000000;23000;0;SUB;2022.0;21.0;2015;True;Fora;;;Esquerdo;Alta;Alta;82;71;71;77;64;69;75;70;51;74;65;78;74;38;65;75;85;79;82;72;76;70;66;72;66;73;71;52;72;73;71;75;72;68;69;13;8;12;13;8
1712;238858;Bruno Tabata;Bruno Vinícius Souza Ramos;24;175;72;Brazil;75;81;6;1911;404;RW,LW;LM;Sporting CP;9000000;12000;19800000;RES;2025.0;7.0;2020;False;Fora;;;Esquerdo;Média;Baixa;79;67;71;80;46;61;74;63;56;71;68;82;75;69;61;79;82;77;78;76;76;73;56;74;56;66;56;53;74;75;65;79;32;51;49;7;13;8;10;6
