;ID;nome;nome_completo;idade;altura;peso;nacionalidade;overall;potencial;crescimento;total_stats;base_stats;posicoes;posicao_preferida;clube;valor_euro;salario_euro;passe_euro;posicao_clube;fim_contrato;numero_camisa;entrou_no_clube;emprestimo;selecao;posicao_selecao;numero_selecao;pe;dedicacao_ataque;dedicacao_defesa;velocidade_total;chute_total;ultrapassagem_total;drible_total;defesa_total;fisico_total;cruzamento;finalizacao;cabeceio;passe_curto;voleio;firula;curva;falta;passe_longo;controle_bola;aceleracao;explosao;agilidade;reacao;equilibrio;forca_chute;pulo;stamina;forca;chute_longo;agressividade;interceptacao;posicionamento;visao_jogo;penaltis;calma;marcacao;combate;carrinho;GK_mergulho;GK_maos;GK_chute;GK_posicionamento;GK_reflexos
30;239818;Rúben Dias;Rúben Santos Gato Alves Dias;24;187;82;Portugal;87;91;4;1886;407;CB;CB;Manchester City;102500000;170000;197300000;CB;2027.0;3.0;2020;False;Portugal;CB;4.0;Direito;Média;Alta;61;38;65;67;88;88;54;29;87;81;32;64;46;48;74;74;57;65;59;87;56;74;78;88;88;22;92;85;39;51;45;81;90;89;85;7;8;13;7;12
217;229558;D. Upamecano;Dayot Upamecano;22;186;90;France;82;90;8;1846;416;CB;CB;FC Bayern München;64000000;70000;118400000;CB;2026.0;2.0;2021;False;Fora;;;Direito;Alta;Média;81;43;62;68;81;81;48;39;82;76;27;69;32;28;72;69;70;90;60;77;66;60;87;65;88;40;83;77;47;58;39;71;78;84;90;6;7;8;15;9
94;235243;M. de Ligt;Matthijs de Ligt;21;189;89;Netherlands;85;90;5;1975;431;CB;CB;Juventus;75000000;81000;129400000;CB;2024.0;4.0;2019;False;Netherlands;SUB;3.0;Direito;Média;Alta;73;59;60;68;84;87;52;50;85;75;45;65;48;55;63;73;71;75;60;84;62;82;93;75;93;66;83;81;44;45;40;82;84;85;85;12;11;11;12;10
165;241486;J. Koundé;Jules Koundé;22;181;75;France;83;89;6;1914;424;CB;CB;Sevilla FC;53000000;33000;121900000;CB;2024.0;23.0;2019;False;France;RES;5.0;Direito;Alta;Alta;81;45;64;72;84;78;45;47;79;80;32;69;42;26;75;74;81;81;71;85;74;48;88;76;79;40;75;86;47;62;43;82;85;85;83;11;10;8;14;13
261;241464;Pau Torres;Pau Francisco Torres;24;191;80;Spain;82;89;7;1881;409;CB;CB;Villarreal CF;56500000;35000;130000000;SUB;2024.0;4.0;2016;False;Spain;SUB;4.0;Esquerdo;Média;Alta;71;38;67;69;84;80;55;28;85;80;41;64;45;28;76;79;69;72;69;80;52;58;78;80;80;40;79;82;42;67;42;73;84;84;83;11;13;13;13;9
263;240130;Éder Militão;Éder Gabriel Militão;23;186;78;Brazil;82;89;7;2018;438;CB;CB;Real Madrid;56500000;130000;127100000;CB;2025.0;3.0;2019;False;Fora;;;Direito;Média;Média;83;50;69;71;83;82;72;48;81;77;34;70;60;40;70;73;81;84;69;83;63;62;86;85;80;42;82;84;64;59;60;74;83;83;82;11;8;15;12;15
398;237383;A. Bastoni;Alessandro Bastoni;22;190;75;Italy;80;89;9;1801;393;CB;CB;Inter;44500000;77000;84600000;CB;2024.0;95.0;2017;False;Italy;RES;23.0;Esquerdo;Média;Alta;65;33;65;68;82;80;67;26;81;72;35;68;43;36;73;72;62;68;58;78;57;49;71;81;81;25;80;83;39;57;47;77;80;84;80;11;5;9;11;12
109;216460;J. Giménez;José María Giménez;26;185;79;Uruguay;84;88;4;1791;395;CB;CB;Atlético Madrid;52000000;74000;110500000;CB;2025.0;2.0;2013;False;Fora;;;Direito;Média;Alta;69;45;57;58;86;80;47;37;83;70;30;54;36;44;67;66;70;69;52;78;40;72;90;60;86;48;88;84;24;46;38;76;87;87;86;9;11;7;10;15
221;225100;J. Gomez;Joe Gomez;24;188;77;England;82;88;6;1809;407;CB;CB;Liverpool;43500000;100000;89200000;RES;2024.0;12.0;2015;False;Fora;;;Direito;Média;Média;81;30;66;69;83;78;69;26;74;78;24;67;41;29;65;73;75;85;63;82;65;41;76;67;83;26;81;84;51;60;26;74;83;84;82;8;13;14;7;7
298;247263;E. Tapsoba;Edmond Tapsoba;22;194;85;Burkina Faso;81;88;7;1914;421;CB;CB;Bayer 04 Leverkusen;48500000;49000;92200000;CB;2026.0;12.0;2020;False;Fora;;;Direito;Média;Alta;75;52;65;68;82;79;39;54;82;81;33;66;46;32;80;72;74;75;67;77;65;74;78;75;81;30;80;83;34;66;77;80;82;84;77;5;10;13;7;15
204;232488;C. Romero;Cristian Romero;23;185;79;Argentina;82;87;5;1841;401;CB;CB;Tottenham Hotspur;41500000;51000;0;SUB;2022.0;4.0;2021;True;Argentina;CB;13.0;Direito;Baixa;Alta;76;46;52;60;83;84;39;48;83;69;53;50;43;38;49;68;80;73;72;81;68;51;86;83;82;37;89;80;39;43;40;78;83;84;83;5;7;11;10;14
211;212190;N. Süle;Niklas Süle;25;195;99;Germany;82;87;5;1675;379;CB,RB;CB;FC Bayern München;40500000;78000;69900000;CB;2022.0;4.0;2017;False;Germany;CB;15.0;Direito;Média;Média;65;42;59;49;83;81;34;22;84;78;33;43;28;30;69;62;48;79;33;79;32;77;39;63;93;62;85;80;26;57;32;75;81;86;82;15;7;14;7;15
